constructor,effect,hdi_low,hdi_high
McLaren,-0.8105604459169267,-1.3602113840336776,-0.15004914538522882
Mercedes,-0.2627558900271086,-0.6509494566629174,0.14318371389670498
Aston Martin,-0.1669306336398505,-0.5356778809611453,0.24298288990075673
Ferrari,-0.12765174868525878,-0.5189137428852372,0.25198570222617955
Kick Sauber,-0.06904731723880611,-0.4331002526889211,0.3340421582516937
Racing Bulls,0.010311769271514894,-0.3661448430616894,0.4083346002328343
Red Bull Racing,0.20975761905590692,-0.19787841975963577,0.5944281607130405
Williams,0.3586743603813525,-0.06719005117509569,0.7807241915459986
Alpine,0.4109053315293577,-0.04949809587028392,0.8269718737003483
Haas F1 Team,0.4472969552698187,-0.04284957574192284,0.8542099241074249
