driver,effect,hdi_low,hdi_high
RUS,-0.44177862361555525,-0.8700881242721353,-0.03148834159651731
LEC,-0.31179727130316653,-0.7081031805828634,0.07989041907032594
NOR,-0.2770282144832312,-0.9315908767309464,0.24745141370796206
VER,-0.22837742131047364,-0.626931530579383,0.1806203340765383
PIA,-0.21039138799422258,-0.8906910210704183,0.2913793214781617
LAW,-0.17297385550767977,-0.5588909838328251,0.23443414133703222
ALO,-0.13352733942308595,-0.5275764178999492,0.28024084037807023
BOR,-0.1167880945055603,-0.5004683571716017,0.27550345494785256
COL,0.018290783205942858,-0.40249471234058964,0.4848228639755536
STR,0.0296171666792056,-0.36627754040611343,0.42493161069734
OCO,0.05225350935296999,-0.3702834148749945,0.5449004770653904
HUL,0.08076573479542597,-0.3183825415783532,0.45558452533166854
SAI,0.09236565766660326,-0.32777291083214777,0.5402090574487177
ALB,0.12504808820993968,-0.28302213377483737,0.5793154429592237
HAD,0.16834404966554045,-0.21309610474833415,0.5704032467829765
BEA,0.22041549085581927,-0.2064156330997298,0.7199423445027027
GAS,0.23130469302847928,-0.20455522194962472,0.6945939502601107
HAM,0.24538231493226897,-0.12690975726107923,0.6573778931557218
ANT,0.2852669704888981,-0.11896815469981363,0.6935709805894159
TSU,0.34360774926188237,-0.056760885562458535,0.758719131191377
