Driver,Team,AdaptabilityIndex,PaceEvolution,ConsistencyEvolution,AnalyzedLaps
STR,Aston Martin,-0.37337421397187376,-0.25338442011835516,0.04536883740463708,66
BOR,Kick Sauber,-0.3965953161752007,-0.24033556927727145,-0.04615661488364159,67
LAW,Racing Bulls,-0.4289228026826853,-0.3339201352419885,0.05115621259256217,66
NOR,McLaren,-0.4298461404857613,0.011831426770159637,-0.04385894017361791,67
BEA,Haas F1 Team,-0.5608026102871443,0.24687930282734127,0.21410102873249634,44
TSU,Red Bull Racing,-0.5846504561597775,0.20486079765476556,0.1927674364574206,62
ALO,Aston Martin,-0.5939859893624038,-0.20890967994920814,-0.13852999644157551,67
RUS,Mercedes,-0.6826277543025608,-0.02157554515822252,-0.09901309427994022,67
GAS,Alpine,-0.6960041349077347,0.41686447097322776,0.2389662993212352,65
HAD,Racing Bulls,-0.7029095054465112,-0.2042876732880554,0.33483146420133697,65
PIA,McLaren,-0.719690196545042,-0.24986784207818027,-0.11398634219173717,67
ANT,Mercedes,-0.7760644792066371,-0.0390632106587229,0.26754798713188205,65
OCO,Haas F1 Team,-0.7819793256425631,0.5714695138344544,0.17624359774896295,64
VER,Red Bull Racing,-0.7956451010064713,-0.2797781155799438,0.2282506105364485,66
ALB,Williams,-0.8158944854558732,0.4296795470888439,0.2644392603987481,64
COL,Alpine,-0.828472860383037,0.24181651478953373,0.0010959874374705803,63
HAM,Ferrari,-0.8391965389311999,-0.479391348922177,0.3269298195864506,65
LEC,Ferrari,-0.8437443187207054,0.7008177354741892,0.016790234466720566,67
HUL,Kick Sauber,-0.8650557604613791,0.12325016416145085,0.1647757724299555,64
SAI,Williams,-0.9676332383648897,0.08873540073283795,0.38468531527112587,63
