Driver,Degradation,Overtaking,AeroTraction,Volatility,Driver Sharpe Ratio
ALB,High,Processional,Traction-limited,Chaotic,-0.4199996718196908
ALB,Low,Processional,Aero-limited,Stable,-0.34359200351754676
ALB,Low,Processional,Traction-limited,Chaotic,-0.0898183109850253
ALB,Low,Processional,Traction-limited,Stable,-0.707610488855825
ALO,High,Processional,Traction-limited,Chaotic,0.9413367307918818
ALO,Low,Processional,Aero-limited,Stable,0.1438929813801696
ALO,Low,Processional,Traction-limited,Chaotic,1.1628639253054835
ALO,Low,Processional,Traction-limited,Stable,0.5078873689532021
BOT,High,Processional,Traction-limited,Chaotic,0.24501462861485404
BOT,Low,Processional,Aero-limited,Stable,-0.22932100374226463
BOT,Low,Processional,Traction-limited,Chaotic,-0.6652649775755276
BOT,Low,Processional,Traction-limited,Stable,-0.7831168981419098
DEV,Low,Processional,Traction-limited,Chaotic,-1.014836632756057
DEV,Low,Processional,Traction-limited,Stable,-1.0073221232489686
GAS,High,Processional,Traction-limited,Chaotic,-0.49167861809870145
GAS,Low,Processional,Aero-limited,Stable,-1.355685837619595
GAS,Low,Processional,Traction-limited,Chaotic,0.9655320766430437
GAS,Low,Processional,Traction-limited,Stable,-0.1871230327569599
HAM,High,Processional,Traction-limited,Chaotic,0.8010378180262097
HAM,Low,Processional,Aero-limited,Stable,0.9222548792154207
HAM,Low,Processional,Traction-limited,Chaotic,0.5603597753769185
HAM,Low,Processional,Traction-limited,Stable,0.7930049437781226
HUL,High,Processional,Traction-limited,Chaotic,-1.1225946672907599
HUL,Low,Processional,Aero-limited,Stable,-0.9083261175340791
HUL,Low,Processional,Traction-limited,Chaotic,0.12103472950410321
HUL,Low,Processional,Traction-limited,Stable,-0.8561003160428631
LAW,Low,Processional,Aero-limited,Stable,-0.6660982613060237
LAW,Low,Processional,Traction-limited,Chaotic,-0.12586614286907244
LAW,Low,Processional,Traction-limited,Stable,-1.469113872660463
LEC,High,Processional,Traction-limited,Chaotic,0.6250748542093545
LEC,Low,Processional,Aero-limited,Stable,1.0578929404489412
LEC,Low,Processional,Traction-limited,Chaotic,-0.835025866114125
LEC,Low,Processional,Traction-limited,Stable,0.9705066210234345
MAG,High,Processional,Traction-limited,Chaotic,-0.5362650845561361
MAG,Low,Processional,Aero-limited,Stable,-0.9581892023675047
MAG,Low,Processional,Traction-limited,Chaotic,-0.8329831683705504
MAG,Low,Processional,Traction-limited,Stable,-1.27863510149634
NOR,High,Processional,Traction-limited,Chaotic,-0.892570986496788
NOR,Low,Processional,Aero-limited,Stable,0.093773290767254
NOR,Low,Processional,Traction-limited,Chaotic,-0.42263086276338174
NOR,Low,Processional,Traction-limited,Stable,0.48690854513895443
OCO,High,Processional,Traction-limited,Chaotic,-0.061032621146665356
OCO,Low,Processional,Aero-limited,Stable,-1.77368258949462
OCO,Low,Processional,Traction-limited,Chaotic,0.4919437441103615
OCO,Low,Processional,Traction-limited,Stable,-0.3263656641442879
PER,High,Processional,Traction-limited,Chaotic,1.632141704061485
PER,Low,Processional,Aero-limited,Stable,1.3568406156850734
PER,Low,Processional,Traction-limited,Chaotic,0.1875714866126562
PER,Low,Processional,Traction-limited,Stable,0.9469274823465618
PIA,Low,Processional,Aero-limited,Stable,0.35195091493160197
PIA,Low,Processional,Traction-limited,Chaotic,-0.15407704442436243
PIA,Low,Processional,Traction-limited,Stable,0.11061973445477483
RIC,High,Processional,Traction-limited,Chaotic,-0.2833285950620924
RIC,Low,Processional,Traction-limited,Stable,-0.7144705181984566
RUS,High,Processional,Traction-limited,Chaotic,0.6993590975681958
RUS,Low,Processional,Aero-limited,Stable,1.3889352810896185
RUS,Low,Processional,Traction-limited,Chaotic,0.39899658897547424
RUS,Low,Processional,Traction-limited,Stable,0.43256952756085637
SAI,Low,Processional,Aero-limited,Stable,1.1954508647474151
SAI,Low,Processional,Traction-limited,Chaotic,0.4183663222394777
SAI,Low,Processional,Traction-limited,Stable,0.8049261741880788
SAR,High,Processional,Traction-limited,Chaotic,-0.196038023074188
SAR,Low,Processional,Aero-limited,Stable,-1.0943780687939488
SAR,Low,Processional,Traction-limited,Chaotic,-0.4990689459485552
SAR,Low,Processional,Traction-limited,Stable,-0.9381256686493167
STR,High,Processional,Traction-limited,Chaotic,-0.11033061693547432
STR,Low,Processional,Aero-limited,Stable,-0.8204976852736074
STR,Low,Processional,Traction-limited,Chaotic,-0.7109274016821956
STR,Low,Processional,Traction-limited,Stable,0.17380977958951532
TSU,High,Processional,Traction-limited,Chaotic,-0.7689957867822996
TSU,Low,Processional,Traction-limited,Chaotic,-0.6844432633493638
TSU,Low,Processional,Traction-limited,Stable,-0.7670203357148084
VER,High,Processional,Traction-limited,Chaotic,2.526141988745725
VER,Low,Processional,Aero-limited,Stable,0.859496013235079
VER,Low,Processional,Traction-limited,Chaotic,1.3691602395429587
VER,Low,Processional,Traction-limited,Stable,2.127115028488361
ZHO,High,Processional,Traction-limited,Chaotic,-0.5664162041618944
ZHO,Low,Processional,Aero-limited,Stable,-0.9018151950231936
ZHO,Low,Processional,Traction-limited,Chaotic,-0.9552825822453171
ZHO,Low,Processional,Traction-limited,Stable,-0.9119791462719634
