Driver,Degradation,Overtaking,Power vs Downforce Sensitivity,Volatility,Driver Sharpe Ratio,Teammate Delta Sharpe Ratio
ALB,High,Processional,Balanced,Stable,-0.7717342693098505,0.08699131232517256
ALB,High,Processional,Power-Dominant,Stable,-0.38608915553037965,0.0
ALB,High,Raceable,Downforce-Dominant,Stable,0.5768738616813855,0.610494811693324
ALB,Low,Processional,Balanced,Stable,-0.24403868210007243,0.30390117431128394
ALB,Low,Processional,Power-Dominant,Stable,0.1640072194873643,-0.06865098961409918
ALB,Low,Raceable,Power-Dominant,Stable,-0.392208432451746,-0.03087910699948676
ALB,Moderate,Processional,Downforce-Dominant,Stable,-0.03887062987094526,-0.16079603026600922
ALB,Moderate,Raceable,Balanced,Stable,-0.30349311220074515,-0.06040443229628866
ALB,Moderate,Raceable,Power-Dominant,Stable,-0.902736288633735,-0.25711655536325595
ALB,Very High,Raceable,Balanced,Stable,-0.1294335216252244,0.1400883224886438
ALO,High,Processional,Balanced,Stable,0.1363031529213112,0.2711593085139718
ALO,High,Processional,Power-Dominant,Stable,-0.4166684936669813,0.26411120393378534
ALO,High,Raceable,Downforce-Dominant,Stable,-0.8940722397080945,0.04874043917836168
ALO,Low,Processional,Balanced,Stable,-2.3078657907784805,-0.7673662768753702
ALO,Low,Processional,Power-Dominant,Stable,-0.7309572320659987,-0.03887510200905134
ALO,Low,Raceable,Power-Dominant,Stable,-0.8642208228540952,0.03388710132524875
ALO,Moderate,Processional,Downforce-Dominant,Stable,-0.8594180196823104,0.09171192792336968
ALO,Moderate,Raceable,Balanced,Stable,-1.0539369281979003,-0.1815628837026213
ALO,Moderate,Raceable,Power-Dominant,Stable,-0.08821923810290995,-0.07276546436383576
ALO,Very High,Raceable,Balanced,Stable,-0.6814919778174889,0.6117325604024698
ANT,High,Processional,Balanced,Stable,-0.21859492671157246,-0.7105149048063669
ANT,High,Raceable,Downforce-Dominant,Stable,0.2638626360767473,0.09852551009190508
ANT,Low,Processional,Balanced,Stable,-1.0068625046874868,-2.089860452690864
ANT,Low,Processional,Power-Dominant,Stable,0.6878588060478881,-0.033212996236166026
ANT,Low,Raceable,Power-Dominant,Stable,1.1237996776679096,0.28374740215783145
ANT,Moderate,Processional,Downforce-Dominant,Stable,0.07230399649604397,0.02140251550220973
ANT,Moderate,Raceable,Balanced,Stable,-0.10539486019380417,-0.4283234983871534
ANT,Moderate,Raceable,Power-Dominant,Stable,-0.7728484244421726,-0.70594878338004
ANT,Very High,Raceable,Balanced,Stable,0.17437073689020982,-1.1031868448189042
BEA,High,Processional,Balanced,Stable,-1.2460691523335998,-0.21732150680207288
BEA,High,Processional,Power-Dominant,Stable,-1.1098267168884313,-0.3252899085778329
BEA,High,Raceable,Downforce-Dominant,Stable,0.7254914714281129,0.8133937087476931
BEA,Low,Processional,Balanced,Stable,-1.1396052914999901,-0.9304473102997856
BEA,Low,Processional,Power-Dominant,Stable,-0.6094621571607891,-0.1294194388639061
BEA,Low,Raceable,Power-Dominant,Stable,-0.857429612608796,0.20071274698124053
BEA,Moderate,Processional,Downforce-Dominant,Stable,-0.14547450919475363,0.32042119016168186
BEA,Moderate,Raceable,Balanced,Stable,-0.19998335929820066,-0.055895113157686555
BEA,Moderate,Raceable,Power-Dominant,Stable,-0.32877323701185596,-0.13902259698730518
BEA,Very High,Raceable,Balanced,Stable,-0.3053169011717648,-0.18089714880859925
BOR,High,Processional,Balanced,Stable,-1.1557077151518353,-0.2381277514849046
BOR,High,Processional,Power-Dominant,Stable,0.25313361601418455,0.16483336603974202
BOR,High,Raceable,Downforce-Dominant,Stable,-0.02670921946381781,0.6337792186060858
BOR,Low,Processional,Balanced,Stable,-0.9466285830449283,-0.3833216275849102
BOR,Low,Processional,Power-Dominant,Stable,-0.4734947705987668,-0.052926826877231055
BOR,Low,Raceable,Power-Dominant,Stable,-1.1957957309357488,0.06132056575048361
BOR,Moderate,Processional,Downforce-Dominant,Stable,-0.23274970748239135,0.3189003866803525
BOR,Moderate,Raceable,Balanced,Stable,-1.3030164114786444,-0.4495375184165065
BOR,Moderate,Raceable,Power-Dominant,Stable,-0.7385107034966047,-0.3332227813499141
BOR,Very High,Raceable,Balanced,Stable,-1.8313130845732826,-0.051047366325249754
COL,High,Processional,Balanced,Stable,-1.64490737015395,-0.4609234844609215
COL,High,Processional,Power-Dominant,Stable,-0.3119949047993554,0.35814344093049505
COL,High,Raceable,Downforce-Dominant,Stable,-0.08543321107472848,0.7067622576462149
COL,Low,Processional,Power-Dominant,Stable,-1.3019073041481612,-0.14910068167511756
COL,Moderate,Processional,Downforce-Dominant,Stable,-0.6154774230994821,0.0
COL,Moderate,Raceable,Balanced,Stable,-1.4167688031244168,0.157266838420128
COL,Moderate,Raceable,Power-Dominant,Stable,-0.6485986543957891,-0.05518301963805983
DOO,Low,Processional,Power-Dominant,Stable,-1.0043851700407698,-0.2834869030323457
DOO,Low,Raceable,Power-Dominant,Stable,-0.6008601133605829,0.0
DOO,Very High,Raceable,Balanced,Stable,-0.47110514901422557,-0.4515410012230133
GAS,High,Processional,Balanced,Stable,-0.723060401232107,0.46092348446092163
GAS,High,Processional,Power-Dominant,Stable,-1.0282817866603455,-0.3581434409304951
GAS,High,Raceable,Downforce-Dominant,Stable,-1.4989577263671583,-0.7067622576462149
GAS,Low,Processional,Balanced,Stable,-0.5236927253015226,0.0
GAS,Low,Processional,Power-Dominant,Stable,-0.8339296529809308,0.14726137413538137
GAS,Moderate,Raceable,Balanced,Stable,-1.7313024799646728,-0.15726683842012812
GAS,Moderate,Raceable,Power-Dominant,Stable,-0.5382326151196695,0.05518301963805983
GAS,Very High,Raceable,Balanced,Stable,0.43197685343180103,0.4515410012230133
HAD,High,Processional,Balanced,Stable,-1.5449753585800077,-0.34224534644220456
HAD,High,Processional,Power-Dominant,Stable,-1.0315965340600273,-0.36646229822893794
HAD,High,Raceable,Downforce-Dominant,Stable,-0.24427425340898265,0.0
HAD,Low,Processional,Balanced,Stable,2.278473446650407,1.601525632492475
HAD,Low,Processional,Power-Dominant,Stable,-0.03571112825687804,0.24423981403893907
HAD,Low,Raceable,Power-Dominant,Stable,-0.4134332427013968,0.03401898528635949
HAD,Moderate,Processional,Downforce-Dominant,Stable,-0.887147281831169,-0.2673765785179092
HAD,Moderate,Raceable,Balanced,Stable,0.5905831385483133,0.6802238334359567
HAD,Moderate,Raceable,Power-Dominant,Stable,-0.873486528184576,-0.2292903141568292
HAD,Very High,Raceable,Balanced,Stable,-1.0390509555517855,-0.17555585459404832
HAM,High,Processional,Balanced,Stable,0.9068062873576307,0.0853415605303429
HAM,High,Processional,Power-Dominant,Stable,1.0749397521304103,-0.307333303699582
HAM,High,Raceable,Downforce-Dominant,Stable,0.2761057857104234,-0.256100149904447
