Driver,Max Drawdown (s),Reset Velocity (s/Lap),Restart Delta (s),Major Incident Resilience,Traffic Resilience,Operational Resilience,Recovery Curvature,Recovery Shape,Cluster,Resilience Profile,Archetype Confidence
ALB,-87.64939272930626,0.46588932625568874,-0.3791376062772836,0.4999231467332571,1.5593443720768847,0.6113702070920644,0.11387456966274641,Linear,5,Elastic Aggressor,0.3316459620062455
ALO,-66.92971136366519,0.20268848793774985,-2.0229704819702974,1.3690132507732014,0.9119787143036616,0.5628750638309326,0.0681784972709172,Linear,7,Steady Operator,0.09876450473667636
ANT,-192.36413216485093,0.31190631501284255,-1.4269220821783366,0.7169700520525084,0.7632698490068499,0.4197114222387605,0.11416900126633166,Linear,4,Elastic Aggressor,0.0
BEA,-71.98427583474724,0.29045668544380593,-0.7256015205883273,,0.8109968199118,2.3481954607798614,0.20194589748365602,Linear,0,Elastic Aggressor,0.07862552227213332
BOR,-89.42071843348982,0.12133389404363089,-0.9165297845324747,0.4441461598706225,0.7920785995841954,0.6274091567184877,0.02319824556657606,Linear,0,Brittle Performer,0.5
COL,-103.7582449923938,0.01699873459422226,-0.8997360462182739,,,,-0.000234910526376407,Linear,6,Brittle Performer,0.5
GAS,-78.2634692933632,0.06904021824244667,-0.8345240008316469,,0.17888208288314011,0.7197205406239102,-0.006799050437926328,Linear,6,Brittle Performer,0.5
HAD,-62.05556233833698,0.1631941300747358,-0.7946920384152283,0.3930508131278457,0.5053849515845368,0.6750745728608066,0.06426654154184501,Linear,0,Steady Operator,0.6134638640622494
HAM,-40.13901839027764,0.4715487085066657,0.05355205967683219,1.1976730585558395,0.4487684003569546,0.8096206057392231,0.13786593722325122,V-Shape,1,Entropy King,1.0
HUL,-60.52631534985766,0.2447334082764527,-0.5929127237994924,,1.3587651539822572,0.3044022822299023,0.05304662848524987,Linear,5,Steady Operator,0.5771091004136776
LAW,-68.15916193263811,0.03904512300769531,-1.3967490040686068,0.5688811501783173,0.49976084712773644,0.23664275688500372,-0.0005825578838655434,Linear,0,Steady Operator,0.3345912952026702
LEC,-42.244615258758245,0.4063879061651486,-0.37235675790453754,0.45279269806068334,0.49069769441897976,0.8584629641784542,0.043982895796479675,Linear,3,Steady Operator,1.0
NOR,-25.00476579842333,0.5923750457126983,0.014377779856580017,0.39214748066211297,0.4857256736798308,0.8747028989688116,0.18196987498165781,V-Shape,3,Entropy King,1.0
OCO,-85.01917945487865,0.0755721181999934,-1.1632232360888628,0.5586325677159221,0.5491580237794184,,0.015695054960774422,Linear,0,Brittle Performer,0.5
PIA,-25.965744785062924,0.5795948560904537,0.430158479028566,,0.4665003714818434,0.9942235825728063,0.10772136353707942,V-Shape,3,Entropy King,1.0
RUS,-79.09623259342895,0.4899580000572521,-0.11151165235742382,0.5410946126336232,0.68945951202373,0.6996538998248826,0.1426151775483225,Linear,3,Elastic Aggressor,0.44593964465513586
SAI,-64.29733077516637,0.22804700801053077,-1.1306068293358018,1.2105397506544875,1.6152540146960117,0.41885731148667255,0.009975107289171593,Linear,2,Steady Operator,0.27840160615579596
STR,-62.519544248585674,0.10429536562173687,-0.9375629667372045,,0.42897604313429294,0.4756932638079153,0.022203033146582594,Linear,0,Steady Operator,0.6964416762481638
TSU,-67.55730163766142,0.20484745151275408,-0.7192670148152484,0.4045671519282489,0.24740990967394794,4.023083333333333,0.028148158868390897,Linear,0,Steady Operator,0.03865581547518679
VER,-35.37497334648163,0.8228212678718139,0.4478012913044407,1.3995272356721884,0.5583661736720774,1.0385206786525518,0.3076437930121564,V-Shape,1,Entropy King,1.0
